Row,rStar_2_5,rStar_5,rStar_16,rStar_50,rStar_84,rStar_95,rStar_97_5,rStarLR_2_5,rStarLR_5,rStarLR_16,rStarLR_50,rStarLR_84,rStarLR_95,rStarLR_97_5,yP_2_5,yP_5,yP_16,yP_50,yP_84,yP_95,yP_97_5,g_2_5,g_5,g_16,g_50,g_84,g_95,g_97_5,z_2_5,z_5,z_16,z_50,z_84,z_95,z_97_5
1961Q1,-1.804,-0.578,1.412,4.074,6.61,8.491,9.568,1.133,1.579,2.557,4.132,5.799,6.895,7.459,810.029,810.346,810.984,812.024,813.176,813.91,814.299,1.138,1.58,2.557,4.135,5.801,6.894,7.459,-5.284,-4.058,-2.14,-0.105,1.819,3.579,4.696
1961Q2,-1.146,0.035,2.03,4.528,7.074,9.277,10.494,1.837,2.25,3.016,4.37,5.805,6.768,7.222,811.079,811.419,812.119,813.243,814.505,815.345,815.853,1.836,2.245,3.016,4.37,5.806,6.77,7.222,-5.414,-4.279,-2.21,0.105,2.451,4.816,5.986
1961Q3,-0.676,0.431,2.361,4.838,7.484,9.767,11.081,2.205,2.531,3.284,4.42,5.63,6.49,6.932,812.095,812.459,813.193,814.368,815.641,816.577,817.037,2.203,2.527,3.282,4.419,5.632,6.495,6.935,-5.319,-4.153,-2.107,0.277,3.042,5.598,7.022
1961Q4,-0.606,0.441,2.448,4.927,7.579,9.859,11.18,2.489,2.833,3.473,4.524,5.596,6.316,6.695,813.158,813.538,814.387,815.6,816.893,817.807,818.318,2.487,2.829,3.47,4.525,5.596,6.315,6.68,-5.473,-4.376,-2.185,0.287,3.149,5.701,7.187
1962Q1,-0.99,0.227,2.324,4.769,7.489,9.893,11.19,2.557,2.848,3.488,4.444,5.44,6.114,6.472,814.005,814.463,815.333,816.616,817.947,818.856,819.325,2.557,2.845,3.483,4.444,5.44,6.112,6.466,-5.753,-4.454,-2.296,0.244,3.245,5.817,7.227
1962Q2,-2.354,-1.179,1.123,3.783,6.253,8.408,9.613,2.321,2.632,3.227,4.108,5.001,5.66,5.951,814.452,814.9,815.786,817.069,818.375,819.29,819.761,2.317,2.63,3.227,4.11,5.005,5.663,5.954,-6.871,-5.549,-3.161,-0.306,2.275,4.643,5.946
1962Q3,-2.568,-1.238,1.031,3.684,6.207,8.405,9.617,2.349,2.607,3.185,4.064,4.919,5.52,5.797,815.224,815.715,816.63,817.976,819.342,820.283,820.751,2.34,2.601,3.18,4.065,4.921,5.521,5.795,-7.075,-5.675,-3.168,-0.325,2.278,4.571,5.927
1962Q4,-3.99,-2.702,-0.293,2.565,4.94,6.924,8.028,2.009,2.295,2.848,3.69,4.533,5.093,5.384,815.548,815.989,816.965,818.343,819.702,820.725,821.174,2.01,2.301,2.853,3.696,4.546,5.1,5.392,-8.234,-6.695,-4.137,-1.051,1.397,3.44,4.793
1963Q1,-3.378,-1.933,0.284,3.026,5.514,7.62,8.785,2.093,2.38,2.899,3.715,4.53,5.053,5.309,816.406,816.898,817.86,819.254,820.67,821.659,822.144,2.093,2.387,2.901,3.719,4.537,5.061,5.323,-7.555,-6.028,-3.562,-0.585,1.892,4.106,5.408
1963Q2,-2.815,-1.504,0.738,3.348,5.895,8.131,9.32,2.153,2.408,2.931,3.725,4.512,5.048,5.262,817.257,817.753,818.741,820.175,821.638,822.68,823.198,2.152,2.41,2.933,3.73,4.52,5.049,5.273,-7.049,-5.585,-3.152,-0.307,2.259,4.543,5.792
1963Q3,-0.786,0.338,2.279,4.7,7.652,10.215,11.652,2.583,2.828,3.339,4.1,4.867,5.386,5.645,819.029,819.561,820.578,822.046,823.52,824.612,825.176,2.572,2.821,3.337,4.1,4.871,5.386,5.65,-5.094,-4.015,-1.929,0.54,3.718,6.437,7.763
