Row,rStar_2_5,rStar_5,rStar_16,rStar_50,rStar_84,rStar_95,rStar_97_5,rStarLR_2_5,rStarLR_5,rStarLR_16,rStarLR_50,rStarLR_84,rStarLR_95,rStarLR_97_5,yP_2_5,yP_5,yP_16,yP_50,yP_84,yP_95,yP_97_5,g_2_5,g_5,g_16,g_50,g_84,g_95,g_97_5,z_2_5,z_5,z_16,z_50,z_84,z_95,z_97_5
1961Q1,-0.323,0.611,2.188,4.183,6.191,7.918,8.981,2.981,3.173,3.55,4.112,4.693,5.124,5.325,810.319,810.565,811.072,811.863,812.68,813.193,813.457,2.982,3.172,3.549,4.112,4.692,5.122,5.324,-4.495,-3.475,-1.871,0.062,1.997,3.743,4.768
1961Q2,-0.018,0.876,2.485,4.496,6.759,8.901,9.972,3.053,3.218,3.588,4.126,4.69,5.098,5.305,811.365,811.625,812.16,813.016,813.912,814.506,814.798,3.047,3.222,3.587,4.125,4.69,5.098,5.301,-4.204,-3.334,-1.657,0.349,2.675,4.794,5.891
1961Q3,-0.039,0.916,2.439,4.492,6.927,9.023,10.391,3.094,3.258,3.613,4.13,4.683,5.067,5.259,812.419,812.689,813.283,814.179,815.144,815.791,816.08,3.094,3.254,3.612,4.127,4.682,5.067,5.255,-4.268,-3.352,-1.76,0.332,2.858,4.935,6.336
1961Q4,-0.755,0.245,1.914,4.077,6.444,8.644,9.792,3.085,3.279,3.616,4.125,4.652,5.029,5.21,813.487,813.783,814.433,815.378,816.406,817.098,817.426,3.087,3.277,3.615,4.125,4.653,5.03,5.21,-5.115,-4.057,-2.292,-0.026,2.387,4.603,5.804
1962Q1,-2.034,-0.994,0.894,3.282,5.484,7.346,8.471,3.086,3.273,3.6,4.106,4.626,4.993,5.176,814.557,814.911,815.591,816.599,817.668,818.406,818.753,3.09,3.274,3.605,4.109,4.63,4.994,5.177,-6.355,-5.27,-3.289,-0.798,1.474,3.355,4.434
1962Q2,-3.227,-1.988,0.116,2.617,4.756,6.529,7.416,3.078,3.256,3.583,4.082,4.598,4.961,5.162,815.246,815.586,816.296,817.317,818.386,819.108,819.48,3.08,3.258,3.59,4.084,4.605,4.966,5.162,-7.53,-6.191,-4.116,-1.444,0.744,2.503,3.457
1962Q3,-3.962,-2.67,-0.542,2.144,4.37,5.853,6.729,3.077,3.26,3.589,4.081,4.592,4.953,5.128,816.258,816.602,817.336,818.393,819.489,820.267,820.596,3.089,3.27,3.593,4.086,4.596,4.954,5.129,-8.296,-6.923,-4.72,-1.921,0.314,1.859,2.73
1962Q4,-3.706,-2.537,-0.385,2.26,4.452,5.965,6.927,3.092,3.255,3.595,4.075,4.577,4.93,5.11,816.636,816.997,817.771,818.877,819.981,820.751,821.109,3.103,3.263,3.6,4.078,4.582,4.932,5.109,-8.106,-6.767,-4.573,-1.802,0.421,1.987,2.874
1963Q1,-2.601,-1.491,0.503,2.981,5.17,6.856,7.912,3.145,3.31,3.626,4.104,4.607,4.952,5.151,817.535,817.961,818.762,819.892,821.039,821.835,822.229,3.148,3.313,3.629,4.106,4.608,4.953,5.152,-6.873,-5.763,-3.686,-1.107,1.099,2.838,3.93
1963Q2,-1.477,-0.368,1.449,3.699,5.99,7.972,9.092,3.195,3.343,3.661,4.131,4.639,4.99,5.201,818.393,818.859,819.714,820.85,822.016,822.842,823.228,3.196,3.347,3.661,4.131,4.639,4.991,5.197,-5.721,-4.66,-2.774,-0.459,1.875,3.894,5.088
1963Q3,-1.214,-0.196,1.613,3.901,6.17,7.995,9.09,3.235,3.382,3.692,4.157,4.674,5.051,5.24,820.044,820.47,821.373,822.548,823.752,824.599,825.044,3.235,3.382,3.689,4.156,4.674,5.05,5.236,-5.604,-4.526,-2.622,-0.274,2.04,3.904,5.056
1963Q4,-1.074,0.079,1.86,4.088,6.338,8.328,9.305,3.243,3.39,3.695,4.169,4.679,5.071,5.262,820.542,821.057,821.934,823.142,824.356,825.169,825.597,3.235,3.389,3.693,4.165,4.678,5.068,5.253,-5.424,-4.259,-2.416,-0.085,2.215,4.258,5.263
1964Q1,-0.625,0.339,2.097,4.362,6.657,8.665,9.831,3.254,3.422,3.725,4.186,4.72,5.11,5.329,822.117,822.602,823.538,824.799,826.041,826.888,827.287,3.248,3.415,3.719,4.183,4.716,5.105,5.318,-4.993,-4.05,-2.147,0.138,2.534,4.587,5.777
1964Q2,-0.792,0.187,2.008,4.291,6.59,8.433,9.576,3.275,3.419,3.728,4.188,4.722,5.129,5.362,822.969,823.45,824.42,825.712,826.981,827.823,828.223,3.269,3.413,3.72,4.183,4.721,5.121,5.354,-5.197,-4.146,-2.294,0.051,2.46,4.352,5.52
